starting job
Sun Dec  7 20:04:44 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.65.06              Driver Version: 580.65.06      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:46:00.0 Off |                   On |
| N/A   39C    P0            392W /  700W |   21842MiB /  81559MiB |     N/A      Default |
|                                         |                        |              Enabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| MIG devices:                                                                            |
+------------------+----------------------------------+-----------+-----------------------+
| GPU  GI  CI  MIG |              Shared Memory-Usage |        Vol|        Shared         |
|      ID  ID  Dev |                Shared BAR1-Usage | SM     Unc| CE ENC  DEC  OFA  JPG |
|                  |                                  |        ECC|                       |
|==================+==================================+===========+=======================|
|  0   10   0   0  |              15MiB /  9984MiB    | 16      0 |  1   0    1    0    1 |
|                  |               0MiB /  6185MiB    |           |                       |
+------------------+----------------------------------+-----------+-----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Running seed 17
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
Seed 17 | Episode 0 | Reward -300.00 | Epsilon 0.9987
Seed 17 | Episode 1 | Reward 54.00 | Epsilon 0.9972
Seed 17 | Episode 2 | Reward -300.00 | Epsilon 0.9883
Seed 17 | Episode 3 | Reward -300.00 | Epsilon 0.9795
Seed 17 | Episode 4 | Reward -300.00 | Epsilon 0.9707
Seed 17 | Episode 5 | Reward -300.00 | Epsilon 0.9620
Seed 17 | Episode 6 | Reward -300.00 | Epsilon 0.9534
Seed 17 | Episode 7 | Reward -300.00 | Epsilon 0.9448
Seed 17 | Episode 8 | Reward -300.00 | Epsilon 0.9364
Seed 17 | Episode 9 | Reward -300.00 | Epsilon 0.9280
Seed 17 | Episode 10 | Reward -300.00 | Epsilon 0.9197
Seed 17 | Episode 11 | Reward -300.00 | Epsilon 0.9114
Seed 17 | Episode 12 | Reward -300.00 | Epsilon 0.9032
Seed 17 | Episode 13 | Reward -300.00 | Epsilon 0.8952
Seed 17 | Episode 14 | Reward -300.00 | Epsilon 0.8871
Seed 17 | Episode 15 | Reward -300.00 | Epsilon 0.8792
Seed 17 | Episode 16 | Reward -300.00 | Epsilon 0.8713
Seed 17 | Episode 17 | Reward -300.00 | Epsilon 0.8635
Seed 17 | Episode 18 | Reward -300.00 | Epsilon 0.8558
Seed 17 | Episode 19 | Reward -300.00 | Epsilon 0.8481
Seed 17 | Episode 20 | Reward -300.00 | Epsilon 0.8405
Seed 17 | Episode 21 | Reward -300.00 | Epsilon 0.8330
Seed 17 | Episode 22 | Reward -300.00 | Epsilon 0.8255
Seed 17 | Episode 23 | Reward -300.00 | Epsilon 0.8181
Seed 17 | Episode 24 | Reward -300.00 | Epsilon 0.8108
Seed 17 | Episode 25 | Reward -300.00 | Epsilon 0.8035
Seed 17 | Episode 26 | Reward -300.00 | Epsilon 0.7963
Seed 17 | Episode 27 | Reward -300.00 | Epsilon 0.7892
Seed 17 | Episode 28 | Reward -300.00 | Epsilon 0.7821
Seed 17 | Episode 29 | Reward -300.00 | Epsilon 0.7751
Seed 17 | Episode 30 | Reward -300.00 | Epsilon 0.7682
Seed 17 | Episode 31 | Reward -300.00 | Epsilon 0.7613
Seed 17 | Episode 32 | Reward -300.00 | Epsilon 0.7545
Seed 17 | Episode 33 | Reward -300.00 | Epsilon 0.7477
Seed 17 | Episode 34 | Reward -300.00 | Epsilon 0.7410
Seed 17 | Episode 35 | Reward -300.00 | Epsilon 0.7344
Seed 17 | Episode 36 | Reward -300.00 | Epsilon 0.7278
Seed 17 | Episode 37 | Reward -300.00 | Epsilon 0.7213
Seed 17 | Episode 38 | Reward -300.00 | Epsilon 0.7148
Seed 17 | Episode 39 | Reward -300.00 | Epsilon 0.7084
Seed 17 | Episode 40 | Reward -300.00 | Epsilon 0.7020
Seed 17 | Episode 41 | Reward -300.00 | Epsilon 0.6957
Seed 17 | Episode 42 | Reward -300.00 | Epsilon 0.6895
Seed 17 | Episode 43 | Reward -300.00 | Epsilon 0.6833
Seed 17 | Episode 44 | Reward -300.00 | Epsilon 0.6772
Seed 17 | Episode 45 | Reward -300.00 | Epsilon 0.6711
Seed 17 | Episode 46 | Reward -300.00 | Epsilon 0.6651
Seed 17 | Episode 47 | Reward -300.00 | Epsilon 0.6592
Seed 17 | Episode 48 | Reward -300.00 | Epsilon 0.6533
