starting job
Sun Dec  7 19:38:00 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.65.06              Driver Version: 580.65.06      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:4C:00.0 Off |                   On |
| N/A   24C    P0            117W /  700W |     486MiB /  81559MiB |     N/A      Default |
|                                         |                        |              Enabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| MIG devices:                                                                            |
+------------------+----------------------------------+-----------+-----------------------+
| GPU  GI  CI  MIG |              Shared Memory-Usage |        Vol|        Shared         |
|      ID  ID  Dev |                Shared BAR1-Usage | SM     Unc| CE ENC  DEC  OFA  JPG |
|                  |                                  |        ECC|                       |
|==================+==================================+===========+=======================|
|  0   14   0   0  |              15MiB /  9984MiB    | 16      0 |  1   0    1    0    1 |
|                  |               0MiB /  6185MiB    |           |                       |
+------------------+----------------------------------+-----------+-----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Running seed 0
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
Seed 0 | Episode 0 | Reward -300.00 | Epsilon 0.9987
Seed 0 | Episode 1 | Reward 55.00 | Epsilon 0.9973
Seed 0 | Episode 2 | Reward -300.00 | Epsilon 0.9883
Seed 0 | Episode 3 | Reward -300.00 | Epsilon 0.9795
Seed 0 | Episode 4 | Reward -300.00 | Epsilon 0.9707
Seed 0 | Episode 5 | Reward -300.00 | Epsilon 0.9620
Seed 0 | Episode 6 | Reward -300.00 | Epsilon 0.9534
Seed 0 | Episode 7 | Reward -300.00 | Epsilon 0.9448
Seed 0 | Episode 8 | Reward -300.00 | Epsilon 0.9364
Seed 0 | Episode 9 | Reward -300.00 | Epsilon 0.9280
Seed 0 | Episode 10 | Reward -300.00 | Epsilon 0.9197
Seed 0 | Episode 11 | Reward -300.00 | Epsilon 0.9114
Seed 0 | Episode 12 | Reward 46.00 | Epsilon 0.9099
Seed 0 | Episode 13 | Reward -300.00 | Epsilon 0.9018
Seed 0 | Episode 14 | Reward -300.00 | Epsilon 0.8937
Seed 0 | Episode 15 | Reward -300.00 | Epsilon 0.8857
Seed 0 | Episode 16 | Reward -300.00 | Epsilon 0.8778
Seed 0 | Episode 17 | Reward -300.00 | Epsilon 0.8699
Seed 0 | Episode 18 | Reward -300.00 | Epsilon 0.8621
Seed 0 | Episode 19 | Reward -300.00 | Epsilon 0.8544
Seed 0 | Episode 20 | Reward -300.00 | Epsilon 0.8467
Seed 0 | Episode 21 | Reward -300.00 | Epsilon 0.8391
Seed 0 | Episode 22 | Reward -300.00 | Epsilon 0.8316
Seed 0 | Episode 23 | Reward -300.00 | Epsilon 0.8242
Seed 0 | Episode 24 | Reward -300.00 | Epsilon 0.8168
Seed 0 | Episode 25 | Reward -300.00 | Epsilon 0.8095
Seed 0 | Episode 26 | Reward -300.00 | Epsilon 0.8022
Seed 0 | Episode 27 | Reward -300.00 | Epsilon 0.7950
Seed 0 | Episode 28 | Reward -300.00 | Epsilon 0.7879
